time,satellite,brdc_x_km,brdc_y_km,brdc_z_km,sp3_x_km,sp3_y_km,sp3_z_km,dx_km,dy_km,dz_km,position_error_km,brdc_radius_km,sp3_radius_km,radius_difference_km
2022-07-04 07:15:00,R13,2551.64941406,24113.0786133,7916.34228516,14605.566843,-3042.605621,20679.306095,-12053.91742894,27155.6842343,-12762.96380984,32336.068976113944,25507.25289244749,25499.288859515003,7.964032932486589
2022-07-04 07:45:00,R12,8058.02636719,8865.73535156,22547.8852539,23818.420169,8812.755109,2491.23624,-15760.393801810002,52.98024256000099,20056.6490139,25508.07694360766,25533.1193096588,25518.386507804935,14.732801853864657
2022-07-04 07:45:00,R13,1904.14941406,21519.9785156,13555.6977539,18874.972557,-1103.953724,17110.899733,-16970.82314294,22623.9322396,-3555.2019790999984,28504.220902230543,25504.748614680368,25500.317498513938,4.431116166430002
2022-07-04 07:45:00,R24,3144.46142578,10428.9477539,23056.8491211,21435.626278,-13375.149748,3582.060662,-18291.16485222,23804.0975019,19474.7884591,35783.64368056647,25500.37019937091,25518.85309526579,-18.48289589487831
2022-07-04 08:15:00,R13,323.017089844,17915.8339844,18146.4804688,22384.05176,-125.198382,12218.35619,-22061.034670155997,18041.0323664,5928.1242788,29108.602801031437,25502.47440546609,25501.95435285158,0.5200526145126787
2022-07-04 08:15:00,R24,8690.77197266,9954.55371094,21812.796875,19974.231339,-12559.010541,9725.261137,-11283.459366340001,22513.56425194,12087.535738,27933.591799399943,25503.348105195357,25520.175695627204,-16.827590431847057
2022-07-04 08:45:00,R13,2299.546875,13779.7768555,21333.3740234,24692.87294,93.094406,6380.358542,-22393.326065,13686.6824495,14953.0154814,30205.61207315369,25500.647310214965,25504.031362196158,-3.384051981192897
2022-07-04 08:45:00,R14,11450.0102539,21405.0698242,7887.09130859,12315.001665,-8444.792796,20690.956258,-864.9914110999998,29849.8626202,-12803.86494941,32491.559922983382,25524.222971587766,25516.45473506842,7.768236519346829
2022-07-04 09:15:00,R13,5876.96533203,9626.14257812,22869.6396484,25506.087188,-106.417656,48.717302,-19629.12185597,9732.56023412,22820.9223464,31635.7337561137,25499.44627037706,25506.35571254507,-6.909442168012902
2022-07-04 09:15:00,R14,9869.76464844,19273.9697266,13516.3452148,16994.458307,-8244.245969,17148.368348,-7124.6936585600015,27518.2156956,-3632.0231332000003,28656.675432401284,25526.256114109958,25511.678536396274,14.57757771368415
