time,satellite,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mod_x_km,mod_y_km,mod_z_km,real_radius_km,modified_radius_km,position_error_km,radius_error_km,inertia_factor
2022-07-04 03:05:00,R01,16457.22338,-15261.79878,12139.442715,1.4741318833333328,-0.8995073633333293,-2.98170204,16486.004408625628,-15264.086477398403,12133.383632690688,25517.225021761176,25534.284319885817,29.500739763044944,17.059298124640918,0.999
2022-07-04 03:10:00,R01,16860.1535,-15524.49463,11218.720849,1.343100400000003,-0.8756528333333335,-3.069072886666666,16889.337862079083,-15527.045286207212,11211.740123181178,25517.335422184038,25535.11279256738,30.115832547149207,17.777370383340894,0.999
2022-07-04 03:15:00,R01,17223.457509,-15777.865427,10273.77563,1.2110133633333318,-0.844569323333338,-3.149817396666664,17253.00553875576,-15780.669707628635,10265.849013071069,25517.425255938975,25535.923568588176,30.721023879899516,18.49831264920067,0.999
2022-07-04 03:20:00,R01,17546.980066,-16019.747769,9306.647237,1.078408523333334,-0.8062744733333299,-3.223761310000003,17576.851942159163,-16022.7941740951,9297.752523581577,25517.494211088626,25536.715907331698,31.3165371021071,19.221696243072074,0.999
2022-07-04 03:25:00,R01,17830.726938,-16247.994238,8319.42375,0.9458229066666657,-0.7608215633333324,-3.2907449566666642,17860.882845062064,-16251.269118039043,8309.540824882879,25517.542033426027,25537.489161473117,31.90259830917541,19.94712804708979,0.999
2022-07-04 03:30:00,R01,18074.864075,-16460.484034,7314.236633,0.8137904566666717,-0.7082993200000055,-3.3506237233333316,18105.264363580583,-16463.971616537543,7303.347514572569,25517.568526151033,25538.24277400284,32.47943469128537,20.674247851806285,0.999
2022-07-04 03:35:00,R01,18279.715926,-16655.133522,6293.256162,0.6828395033333314,-0.6488316266666637,-3.403268236666669,18310.32127148849,-16658.815948869873,6281.3450410990945,25517.573554150036,25538.976279576775,33.04727282602529,21.40272542673847,0.999
2022-07-04 03:40:00,R01,18445.763055,-16829.906615,5258.686731,0.5534904299999955,-0.582576976666666,-3.4485647699999995,18476.53461383083,-16833.763989910913,5245.740005063059,25517.557043839817,25539.68930125872,33.60633700016862,22.132257418903464,0.999
2022-07-04 03:45:00,R01,18573.639026,-16982.824964,4212.76212,0.426253236666671,-0.5097278299999985,-3.4864153699999982,18604.538588805808,-16986.835410331332,4198.768422480476,25517.51898413556,25540.38154816153,34.15684750726378,22.86256402597064,0.999
2022-07-04 03:50:00,R01,18664.126604,-17111.977897,3157.74066,0.30162526000000073,-0.43050977666667073,-3.516738200000001,18695.116744961964,-17116.117625546547,3142.6908849429383,25517.459425134282,25541.052810673365,34.699018985406546,23.5933855390831,0.999
2022-07-04 03:55:00,R01,18718.15327,-17215.532066,2095.900378,0.18008888666665976,-0.3451805633333303,-3.5394676066666673,18749.19749170871,-17219.775452373375,2079.7876997577528,25517.37848112902,25541.702959852155,35.23305875951642,24.324478723134234,0.999
2022-07-04 04:00:00,R01,18736.786079,-17291.740753,1029.534085,0.06210936333334151,-0.25402895666666153,-3.5545543099999994,18767.848952169174,-17296.060424345345,1012.353973031026,25517.276329407614,25542.331942498018,35.75916522127406,25.055613090404222,0.999
2022-07-04 04:05:00,R01,18721.225888,-17338.952787,-39.055579,-0.05186730333333495,-0.1573734466666671,-3.561965546666667,18752.273185402406,-17343.31971763864,-57.30535029229759,25517.153207942054,25542.93977504092,36.27752625823944,25.786567098864907,0.999
2022-07-04 04:10:00,R01,18672.800974,-17355.621046,-1107.561097,-0.16141637999999753,-0.05556086333333951,-3.56168506,18703.799798015018,-17360.004661582585,-1126.8804433853907,25517.009419024038,25543.52654329625,36.788317719739766,26.51712427221355,0.999
2022-07-04 04:15:00,R01,18592.96008,-17340.310477,-2173.675072,-0.26613631333333615,0.05103523000000375,-3.55371325,18623.8789832002,-17344.678766687688,-2194.061599541547,25516.845324096466,25544.09239340979,37.29170196037091,27.247069313321845,0.999
2022-07-04 04:20:00,R01,18483.264912,-17291.705628,-3235.095183,-0.36565056000000673,0.16201616333333124,-3.5380670366666664,18514.074010227225,-17296.025264185188,-3256.5441931351406,25516.661344612603,25544.63752879155,37.787826427629014,27.976184178947733,0.999
2022-07-04 04:25:00,R01,18345.382139,-17208.617624,-4289.529177,-0.45960924333332515,0.276960013333337,-3.5147799800000015,18376.053216433433,-17212.854089010012,-4312.033676618625,25516.457961780627,25545.162206003613,38.27682235757406,28.704244222986745,0.999
2022-07-04 04:30:00,R01,18181.074907,-17089.990584,-5334.699794,-0.5476907733333428,0.39542346666666467,-3.483902056666666,18211.581512729725,-17094.108303224228,-5358.250510452459,25516.235710371882,25545.66672470935,38.75880351846098,29.431014337467786,0.999
2022-07-04 04:35:00,R01,17992.193941,-16934.907425,-6368.349697,-0.6296032199999899,0.5169438633333265,-3.4454996766666652,18022.511476693693,-16938.869905826832,-6392.935098040046,25515.995182770304,25546.151427990757,39.233865080325465,30.156245220452547,0.999
2022-07-04 04:40:00,R01,17780.668248,-16742.595034,-7388.24634,-0.705085643333332,0.6410413033333316,-3.3996554766666667,17810.774046263265,-16746.365009930938,-7413.852658600606,25515.737022443234,25546.61669216344,39.70208256331017,30.87966972020513,0.999
2022-07-04 04:45:00,R01,17548.495475,-16512.428795,-8392.186781,-0.7739092433333402,0.7672207966666732,-3.346468136666669,17578.368868085083,-16515.968374295302,-8418.798044986994,25515.461922395836,25547.062921703196,40.16351088972521,31.600999307360325,0.999
